Gene_symbol	Description
ELF2	E74-like factor 2 (ets domain transcription factor)
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
ELF4	E74-like factor 4 (ets domain transcription factor)
ELF5	E74-like factor 5 (ets domain transcription factor)
ELK1	ELK1, member of ETS oncogene family
ELK2P1	ELK2, member of ETS oncogene family, pseudogene 1
ELK2P2	ELK2, member of ETS oncogene family, pseudogene 2
ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)
ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)
ELN	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)
ELNL1	elastin-like 1
ELNR1	elastin receptor 1 (67kD)
EMAPL	echinoderm microtubule-associated protein-like
EMD	emerin (Emery-Dreifuss muscular dystrophy)
EMK1	ELKL motif kinase
EMP1	epithelial membrane protein 1
EMP2	epithelial membrane protein 2
EMP3	epithelial membrane protein 3
EMR1	egf-like module containing, mucin-like, hormone receptor-like sequence 1
EMR2	egf-like module containing, mucin-like, hormone receptor-like sequence 2
EMS1	ems1 sequence (mammary tumor and squamous cell carcinoma-associated (p80/85 src substrate)
EMWX	episodic muscle weakness, X-linked
EMX1	empty spiracles (Drosophila) homolog 1
EMX2	empty spiracles (Drosophila) homolog 2
EN1	engrailed homolog 1
EN2	engrailed homolog 2
ENAM	enamelin
ENC1	ectodermal-neural cortex (with BTB-like domain)
ENDOG	endonuclease G
ENDOGL1	endonuclease G-like 1
ENDOGL2	endonuclease G-like 2
ENG	endoglin (Osler-Rendu-Weber syndrome 1)
ENO1	enolase 1, (alpha)
ENO1P	enolase 1, (alpha) pseudogene
ENO2	enolase 2, (gamma, neuronal)
ENO3	enolase 3, (beta, muscle)
ENPEP	glutamyl aminopeptidase (aminopeptidase A)
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3
ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)
ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)
ENSA	endosulfine alpha
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1
ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3
ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5
ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)
ENUR1	enuresis, nocturnal 1
ENUR2	enuresis, nocturnal 2
EOMES	eomesodermin (Xenopus laevis) homolog
EP300	E1A binding protein p300
EPAS1	endothelial PAS domain protein 1
EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)
EPB41L1	erythrocyte membrane protein band 4.1-like 1
EPB41L2	erythrocyte membrane protein band 4.1-like 2
EPB41L3	erythrocyte membrane protein band 4.1-like 3
EPB42	erythrocyte membrane protein band 4.2
EPB49	erythrocyte membrane protein band 4.9 (dematin)
EPB72	erythrocyte membrane protein band 7.2 (stomatin)
EPHA1	EphA1
EPHA2	EphA2
EPHA3	EphA3
EPHA4	EphA4
EPHA5	EphA5
EPHA7	EphA7
EPHA8	EphA8
EPHB1	EphB1
EPHB2	EphB2
EPHB3	EphB3
EPHB4	EphB4
EPHB6	EphB6
EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)
EPHX2	epoxide hydrolase 2, cytoplasmic
EPIM	epimorphin
EPM2A	epilepsy, progressive myoclonus type 2, Lafora disease (laforin)
EPO	erythropoietin
EPOR	erythropoietin receptor
EPR1	effector cell protease receptor 1
EPRS	glutamyl-prolyl-tRNA synthetase
EPS15	epidermal growth factor receptor pathway substrate 15
EPS8	epidermal growth factor receptor pathway substrate 8
EPT	epilepsy, partial
EPX	eosinophil peroxidase
ERAL1	Era (E. coli G-protein homolog)-like 1
ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)
ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
ERBB4	v-erb-a avian erythroblastic leukemia viral oncogene homolog-like 4
ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)
ERCC3	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)
ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4
ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))
ERCC6	excision repair cross-complementing rodent repair deficiency, complementation group 6
ERCC8	excision repair cross-complementing rodent repair deficiency, complementation group 8
ERCM1	excision repair complementing defective repair in mouse cells
ERDA1	expanded repeat domain, CAG/CTG 1
EREG	epiregulin
ERF	Ets2 repressor factor
ERG	v-ets avian erythroblastosis virus E26 oncogene related
ERH	enhancer of rudimentary (Drosophila) homolog
ERN1	ER to nucleus signalling 1
ERPL1	endogenous retroviral pol gene-like sequence 1 (clone HLM2)
ERPL2	endogenous retroviral pol gene-like sequence 2
ERV1	endogenous retroviral sequence 1
ERV3	endogenous retroviral sequence 3 (includes zinc finger protein H-plk/HPF9)
ERVK2	endogenous retroviral sequence K(C4), 2
ERVK3	endogenous retroviral sequence K(C4), 3
ERVK4	endogenous retroviral sequence K (G1), 4
ERVK5	endogenous retroviral sequence K (G2), 5
ERVK6	endogenous retroviral sequence K, 6
ERVT1	endogenous retroviral sequence, truncated 1 (band T1, 26.0kb) (NOTE: redefinition of symbol)
ERVT2	endogenous retroviral sequence, truncated 2 (band T2, 21.0kb) (NOTE: redefinition of symbol)
ERVT3	endogenous retroviral sequence, truncated 3 (band T3, 17.8kb) (NOTE: redefinition of symbol)
ERVT4	endogenous retroviral sequence, truncated 4 (band T4, 14.9kb) (NOTE: redefinition of symbol)
ERVT5	endogenous retroviral sequence, truncated 5 (NOTE: redefinition of symbol)
ERVWE1	endogenous retroviral family W, env(C7), member 1 (syncytin)
ESA4	esterase A4
ESAT	esterase activator
ESB3	esterase B3
ESD	esterase D/formylglutathione hydrolase
ESM1	endothelial cell-specific molecule 1
ESR1	estrogen receptor 1
ESR2	estrogen receptor 2 (ER beta)
ESRRA	estrogen-related receptor alpha
ESRRAP	estrogen-related receptor alpha pseudogene
ESRRB	estrogen-related receptor beta
ESRRG	estrogen-related receptor gamma
ETF1	eukaryotic translation termination factor 1
ETF1P1	eukaryotic translation termination factor 1 pseudogene 1
ETF1P2	eukaryotic translation termination factor 1 pseudogene 2
ETF1P3	eukaryotic translation termination factor 1 pseudogene 3
ETFA	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)
ETFB	electron-transfer-flavoprotein, beta polypeptide
ETFDH	electron-transferring-flavoprotein dehydrogenase
ETM1	essential tremor 1
ETM2	essential tremor 2
ETS1	v-ets avian erythroblastosis virus E26 oncogene homolog 1
ETS2	v-ets avian erythroblastosis virus E26 oncogene homolog 2
ETV1	ets variant gene 1
ETV2	ets variant gene 2
ETV3	ets variant gene 3
ETV4	ets variant gene 4 (E1A enhancer-binding protein, E1AF)
ETV5	ets variant gene 5 (ets-related molecule)
ETV6	ets variant gene 6 (TEL oncogene)
EVA1	epithelial V-like antigen 1
EVC	Ellis van Creveld syndrome
EVI1	ecotropic viral integration site 1
EVI2A	ecotropic viral integration site 2A
EVI2B	ecotropic viral integration site 2B
EVI5	ecotropic viral integration site 5
EVI9	ecotropic viral integration site 9
EVPL	envoplakin
EVR1	exudative vitreoretinopathy 1 (autosomal dominant; Criswick-Schepens syndrome)
EVR2	exudative vitreoretinopathy 2 (X-linked)
EVX1	even-skipped homeo box 1 (homolog of Drosophila)
EVX2	even-skipped homeo box 2 (homolog of Drosophila eve)
EWSR1	Ewing sarcoma breakpoint region 1
EXLD1	extracellular link domain containing, 1
EXO1	exonuclease 1
EXT1	exostoses (multiple) 1
EXT2	exostoses (multiple) 2
EXT3	exostoses (multiple) 3
EXTL1	exostoses (multiple)-like 1
EXTL2	exostoses (multiple)-like 2
EXTL2P	exostoses (multiple)-like 2 pseudogene
EXTL3	exostoses (multiple)-like 3
EYA1	eyes absent (Drosophila) homolog 1
EYA2	eyes absent (Drosophila) homolog 2
EYA3	eyes absent (Drosophila) homolog 3
EYA4	eyes absent (Drosophila) homolog 4
EYCL1	eye color 1 (green/blue)
EYCL2	eye color 2 (central brown)
EYCL3	eye color 3 (brown)
EZH1	enhancer of zeste (Drosophila) homolog 1
EZH2	enhancer of zeste (Drosophila) homolog 2
F10	coagulation factor X
F11	coagulation factor XI (plasma thromboplastin antecedent)
F12	coagulation factor XII (Hageman factor)
F13A1	coagulation factor XIII, A1 polypeptide
F13A2	coagulation factor XIII, A2 polypeptide
F13A3	coagulation factor XIII, A3 polypeptide
F13B	coagulation factor XIII, B polypeptide
F2	coagulation factor II (thrombin)
F2L	coagulation factor II (thrombin)-like
F2R	coagulation factor II (thrombin) receptor
F2RL1	coagulation factor II (thrombin) receptor-like 1
F2RL2	coagulation factor II (thrombin) receptor-like 2
F2RL3	coagulation factor II (thrombin) receptor-like 3
F3	coagulation factor III (thromboplastin, tissue factor)
F5	coagulation factor V (proaccelerin, labile factor)
F5F8D	coagulation factor V-factor VIII combined deficiency
F7	coagulation factor VII (serum prothrombin conversion accelerator)
F7R	coagulation factor VII regulator
F8	coagulation factor VIII, procoagulant component (hemophilia A)
F8A	coagulation factor VIII-associated (intronic transcript)
F9	coagulation factor IX (plasma thromboplastic component, Christmas disease, hemophilia B)
FAAH	fatty acid amide hydrolase
FABGL	FabG (beta-ketoacyl-[acyl-carrier-protein] reductase, E coli) like
FABP1	fatty acid binding protein 1, liver
FABP2	fatty acid binding protein 2, intestinal
FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)
FABP3P2	fatty acid binding protein 3, pseudogene 2
FABP4	fatty acid binding protein 4, adipocyte
FABP5	fatty acid binding protein 5 (psoriasis-associated)
FABP6	fatty acid binding protein 6, ileal (gastrotropin)
FABP7	fatty acid binding protein 7, brain
FABP9	fatty acid binding protein 9, testis
FACL1	fatty-acid-Coenzyme A ligase, long-chain 1
FACL2	fatty-acid-Coenzyme A ligase, long-chain 2
FACL3	fatty-acid-Coenzyme A ligase, long-chain 3
FACL4	fatty-acid-Coenzyme A ligase, long-chain 4
FACVL1	fatty-acid-Coenzyme A ligase, very long-chain 1
FADD	Fas (TNFRSF6)-associated via death domain
FADS1	fatty acid desaturase 1
FADS2	fatty acid desaturase 2
FADS3	fatty acid desaturase 3
FAF1	Fas (TNFRSF6) associated factor 1
FAH	fumarylacetoacetate
FALZ	fetal Alzheimer antigen
FANCA	Fanconi anemia, complementation group A
FANCB	Fanconi anemia, complementation group B
FANCC	Fanconi anemia, complementation group C
FANCD	Fanconi anemia, complementation group D
FANCE	Fanconi anemia, complementation group E
FANCF	Fanconi anemia, complementation group F
FANCG	Fanconi anemia, complementation group G
FANCH	Fanconi anemia, complementation group H
FAP	fibroblast activation protein, alpha
FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
FARSL	phenylalanine-tRNA synthetase-like
FASN	fatty acid synthase
FAT	FAT tumor suppressor (Drosophila) homolog
FAT2	FAT tumor suppressor (Drosophila) homolog 2
FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30
FAUNA@	FAU neighboring area cluster
FBL	fibrillarin
FBLN1	fibulin 1
FBLN2	fibulin 2
FBLN5	fibulin 5
FBN1	fibrillin 1 (Marfan syndrome)
FBN2	fibrillin 2 (congenital contractural arachnodactyly)
FBP1	fructose-1,6-bisphosphatase 1
FBP2	fructose-1,6-bisphosphatase 2
FBXL11	F-box and leucine-rich repeat protein 11
FBXL2	F-box and leucine-rich repeat protein 2
FBXL3A	F-box and leucine-rich repeat protein 3A
FBXL3B	F-box and leucine-rich repeat protein 3B
FBXL4	F-box and leucine-rich repeat protein 4
FBXL5	F-box and leucine-rich repeat protein 5
FBXL6	F-box and leucine-rich repeat protein 6
FBXL7	F-box and leucine-rich repeat protein 7
FBXL9	F-box and leucine-rich repeat protein 9
FBXO10	F-box only protein 10
FBXO11	F-box only protein 11
FBXO2	F-box only protein 2
FBXO20	F-box only protein 20
FBXO21	F-box only protein 21
FBXO22	F-box only protein 22
FBXO23	F-box only protein 23
FBXO24	F-box only protein 24
FBXO25	F-box only protein 25
FBXO29	F-box only protein 29
FBXO3	F-box only protein 3
FBXO4	F-box only protein 4
FBXO5	F-box only protein 5
FBXO6	F-box only protein 6
FBXO7	F-box only protein 7
FBXO8	F-box only protein 8
FBXO9	F-box only protein 9
FBXW1B	F-box and WD-40 domain protein 1B
FBXW2	F-box and WD-40 domain protein 2
FBXW3	F-box and WD-40 domain protein 3
FCAR	Fc fragment of IgA, receptor for
FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23A)
FCGBP	Fc fragment of IgG binding protein
FCGR1A	Fc fragment of IgG, high affinity Ia, receptor for (CD64)
FCGR1B	Fc fragment of IgG, high affinity Ib, receptor for (CD64)
FCGR1C	Fc fragment of IgG, high affinity Ic, receptor for (CD64)
FCGR2A	Fc fragment of IgG, low affinity IIa, receptor for (CD32)
FCGR2B	Fc fragment of IgG, low affinity IIb, receptor for (CD32)
FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor for (CD16)
FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor for (CD16)
FCGRT	Fc fragment of IgG, receptor, transporter, alpha
FCMD	Fukuyama type congenital muscular dystrophy
FCN1	ficolin (collagen/fibrinogen domain-containing) 1
FCN2	ficolin (collagen/fibrinogen domain-containing lectin) 2 (hucolin)
FCN3	ficolin (collagen/fibrinogen domain-containing) 3 (Hakata antigen)
FCP1	F-cell production 1
FDFT1	farnesyl-diphosphate farnesyltransferase 1
FDH	formaldehyde dehydrogenase
FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
FDPSL1	farnesyl diphosphate synthase-like 1 (farnesyl pyrophosphate synthetase-like 1, cholesterol-repressible protein 39A)
FDPSL2	farnesyl diphosphate synthase-like 2 (farnesyl pyrophosphate synthetase-like 2)
FDPSL3	farnesyl diphosphate synthase-like 3 (farnesyl pyrophosphate synthetase-like 3)
FDPSL4	farnesyl diphosphate synthase-like 4 (farnesyl pyrophosphate synthetase-like 4)
FDPSL5	farnesyl diphosphate synthase-like 5 (farnesyl pyrophosphate synthetase-like 5)
FDPSP	farnesyl diphosphate synthase  pseudogene
FDX1	ferredoxin 1
FDX2	ferredoxin 2
FDXP1	ferredoxin pseudogene 1
FDXP2	ferredoxin pseudogene 2
FDXR	ferredoxin reductase
FEB1	febrile convulsions 1
FEB2	febrile convulsions 2
FEB3	febrile convulsions 3
FEB4	febrile convulsions 4
FECH	ferrochelatase (protoporphyria)
FECHP	ferrochelatase pseudogene
FEM1B	FEM-1 (C.elegans) homolog b
FEN1	flap structure-specific endonuclease 1
FENL1	flap endonuclease-like 1
FEOM1	fibrosis of the extraocular muscles, congenital, 1
FEOM2	fibrosis of extraocular muscles, congenital, 2, autosomal recessive
FEOM3	fibrosis of extraocular muscles, congenital, 3
FER	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)
FER1L3	fer-1 (C.elegans)-like 3 (myoferlin)
FES	feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog
FETUB	fetuin B
FEZ1	fasciculation and elongation protein zeta 1 (zygin I)
FEZ1	fasciculation and elongation protein zeta 1 (zygin I)
FEZ2	fasciculation and elongation protein zeta 2 (zygin II)
FGA	fibrinogen, A alpha polypeptide
FGB	fibrinogen, B beta polypeptide
FGD1	faciogenital dysplasia (Aarskog-Scott syndrome)
FGD2	FGD1 family, member 2
FGF1	fibroblast growth factor 1 (acidic)
FGF10	fibroblast growth factor 10
FGF11	fibroblast growth factor 11
FGF12	fibroblast growth factor 12
FGF12B	fibroblast growth factor 12B
FGF13	fibroblast growth factor 13
FGF14	fibroblast growth factor 14
FGF16	fibroblast growth factor 16
FGF17	fibroblast growth factor 17
FGF18	fibroblast growth factor 18
FGF19	fibroblast growth factor 19
FGF2	fibroblast growth factor 2 (basic)
FGF20	fibroblast growth factor 20
FGF21	fibroblast growth factor 21
FGF22	fibroblast growth factor 22
FGF23	fibroblast growth factor 23
FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)
FGF4	fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene)
FGF5	fibroblast growth factor 5
FGF6	fibroblast growth factor 6
FGF7	fibroblast growth factor 7 (keratinocyte growth factor)
FGF8	fibroblast growth factor 8 (androgen-induced)
FGF9	fibroblast growth factor 9 (glia-activating factor)
FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)
FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)
FGFR4	fibroblast growth factor receptor 4
FGFR6	fibroblast growth factor receptor 6
FGFRL1	fibroblast growth factor receptor-like 1
FGG	fibrinogen, gamma polypeptide
FGL1	fibrinogen-like 1
FGL2	fibrinogen-like 2
FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog
FGS1	FG syndrome 1
FGS2	FG syndrome 2
FH	fumarate hydratase
FHIT	fragile histidine triad gene
FHL1	four and a half LIM domains 1
FHL2	four and a half LIM domains 2
FHL3	four and a half LIM domains 3
FIBP	fibroblast growth factor (acidic) intracellular binding protein
FICP	
FIGF	c-fos induced growth factor (vascular endothelial growth factor D)
FIGN	fidgetin
FIGNL1	fidgetin-like 1
FIM1	Friend-murine leukemia virus integration site 1 homolog
FIM3	Friend-murine leukemia virus integration site 3 homolog
FKBP1A	FK506-binding protein 1A (12kD)
FKBP1B	FK506-binding protein 1B (12.6 kD)
FKBP1P1	FK506-binding protein 1 pseudogene 1
FKBP1P2	FK506-binding protein 1 pseudogene 2
FKBP1P3	FK506-binding protein 1 pseudogene 3
FKBP1P4	FK506-binding protein 1 pseudogene 4
FKBP2	FK506-binding protein 2 (13kD)
FKBP3	FK506-binding protein 3 (25kD)
FKBP4	FK506-binding protein 4 (59kD)
FKBP5	FK506-binding protein 5
FKBP6	FK506-binding protein 6 (36kD)
FKBP7	FK506-binding protein 7
FKBP8	FK506-binding protein 8 (38kD)
FKBP9	FK506-binding protein 9 (63 kD)
FKHL18	forkhead (Drosophila)-like 18
FLG	filaggrin
FLI1	Friend leukemia virus integration 1
FLII	flightless I (Drosophila) homolog
FLNA	filamin A, alpha (actin-binding protein-280)
FLNB	filamin B, beta (actin-binding protein-278)
FLNC	filamin C, gamma (actin-binding protein-280)
FLOT1	flotillin 1
FLOT2	flotillin 2
FLRT1	fibronectin leucine rich transmembrane protein 1
FLRT2	fibronectin leucine rich transmembrane protein 2
FLRT3	fibronectin leucine rich transmembrane protein 3
FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)
FLT3	fms-related tyrosine kinase 3
FLT3LG	fms-related tyrosine kinase 3 ligand
FLT4	fms-related tyrosine kinase 4
FMN	formin (limb deformity)
FMN2	formin 2
FMO1	flavin containing monooxygenase 1
FMO2	flavin containing monooxygenase 2
FMO3	flavin containing monooxygenase 3
FMO4	flavin containing monooxygenase 4
FMO5	flavin containing monooxygenase 5
FMOD	fibromodulin
FMR1	fragile X mental retardation 1
FMR2	fragile X mental retardation 2
FMR3	fragile X mental retardation associated 3
FN1	fibronectin 1
FND	frontonasal dysplasia
FNL1	fibronectin-like 1
FNRBL	fibronectin receptor, beta polypeptide-like
FNTA	farnesyltransferase, CAAX box, alpha
FNTAL1	farnesyltransferase, CAAX box, alpha-like 1
FNTAL2	farnesyltransferase, CAAX box, alpha-like 2
FNTB	farnesyltransferase, CAAX box, beta
FNTBL1	farnesyltransferase, CAAX box, beta-like 1
FNZ	fibronectin, influences presence on cell surface
FOLH1	folate hydrolase (prostate-specific membrane antigen) 1
FOLH2	folate hydrolase 2
FOLR1	folate receptor 1 (adult)
FOLR1P	folate receptor 1 (adult) pseudogene
FOLR2	folate receptor 2 (fetal)
FOLR2L	folate receptor 2 (fetal) like
FOLR3	folate receptor 3 (gamma)
FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog
FOSB	FBJ murine osteosarcoma viral oncogene homolog B
FOSL2	FOS-like antigen 2
FOXB1	forkhead box B1
FOXC1	forkhead box C1
FOXC2	forkhead box C2 (MFH-1, mesenchyme forkhead 1)
FOXD1	forkhead box D1
FOXD2	forkhead box D2
FOXD3	forkhead box D3
FOXD4	forkhead box D4
FOXE1	forkhead box E1 (thyroid transcription factor 2)
FOXE2	forkhead box E2
FOXE3	forkhead box E3
FOXF1	forkhead box F1
FOXF2	forkhead box F2
FOXG1A	forkhead box G1A
FOXG1B	forkhead box G1B
FOXG1C	forkhead box G1C
FOXH1	forkhead box H1
FOXI1	forkhead box I1
FOXJ1	forkhead box J1
FOXL1	forkhead box L1
FOXM1	forkhead box M1
FOXO1A	forkhead box O1A (rhabdomyosarcoma)
FOXO1B	forkhead box O1B
FOXO3A	forkhead box O3A
FOXO3B	forkhead box O3B
FOXP1	forkhead box P1
FOXP2	forkhead box P2
FPGS	folylpolyglutamate synthase
FPGT	fucose-1-phosphate guanylyltransferase
FPR1	formyl peptide receptor 1
FPRL1	formyl peptide receptor-like 1
FPRL2	formyl peptide receptor-like 2
FRA10A	fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2)
FRA10B	fragile site, BrdU type, rare, fra(10)(q25.2)
FRA10C	fragile site, BrdU type, common, fra(10)(q21)
FRA10D	fragile site, aphidicolin type, common, fra(10)(q22.1)
FRA10E	fragile site, aphidicolin type, common, fra(10)(q25.2)
FRA10F	fragile site, aphidicolin type, common, fra(10)(q26.1)
FRA10G	fragile site, aphidicolin type, common, fra(10)(q11.2)
FRA11A	fragile site, folic acid type, rare, fra(11)(q13.3)
FRA11B	fragile site, folic acid type, rare, fra(11)(q23.3)
FRA11C	fragile site, aphidicolin type, common, fra(11)(p15.1)
FRA11D	fragile site, aphidicolin type, common, fra(11)(p14.2)
FRA11E	fragile site, aphidicolin type, common, fra(11)(p13)
FRA11F	fragile site, aphidicolin type, common, fra(11)(q14.2)
FRA11G	fragile site, aphidicolin type, common, fra(11)(q23.3)
FRA11H	fragile site, aphidicolin type, common, fra(11)(q13)
FRA11I	fragile site, distamycin A type, rare, fra(11)(p15.1)
FRA12A	fragile site, folic acid type, rare, fra(12)(q13.1)
FRA12B	fragile site, aphidicolin type, common, fra(12)(q21.3)
FRA12C	fragile site, BrdU type, rare, fra(12)(q24.2)
FRA12D	fragile site, folic acid type, rare, fra(12)(q24.13)
FRA12E	fragile site, aphidicolin type, common, fra(12)(q24)
FRA13A	fragile site, aphidicolin type, common, fra(13)(q13.2)
FRA13B	fragile site, BrdU type, common, fra(13)(q21)
FRA13C	fragile site, aphidicolin type, common, fra(13)(q21.2)
FRA13D	fragile site, aphidicolin type, common, fra(13)(q32)
FRA14B	fragile site, aphidicolin type, common, fra(14)(q23)
FRA14C	fragile site, aphidicolin type, common, fra(14)(q24.1)
FRA15A	fragile site, aphidicolin type, common, fra(15)(q22)
FRA16A	fragile site, folic acid type, rare, fra(16)(p13.11)
FRA16B	fragile site, distamycin A type, rare, fra(16)(q22.1)
FRA16C	fragile site, aphidicolin type, common, fra(16)(q22.1)
FRA16D	fragile site, aphidicolin type, common, fra(16)(q23.2)
FRA16E	fragile site, distamycin A type, rare, fra(16)(p12.1)
FRA17A	fragile site, distamycin A type, rare, fra(17)(p12)
FRA17B	fragile site, aphidicolin type, common, fra(17)(q23.1)
FRA18A	fragile site, aphidicolin type, common, fra(18)(q12.2)
FRA18B	fragile site, aphidicolin type, common, fra(18)(q21.3)
FRA19A	fragile site, 5-azacytidine type, common, fra(19)(q13)
FRA19B	fragile site, folic acid type, rare, fra(19)(p13)
FRA1A	fragile site, aphidicolin type, common, fra(1)(p36)
FRA1B	fragile site, aphidicolin type, common, fra(1)(p32)
FRA1C	fragile site, aphidicolin type, common, fra(1)(p31.2)
FRA1D	fragile site, aphidicolin type, common, fra(1)(p22)
FRA1E	fragile site, aphidicolin type, common, fra(1)(p21.2)
FRA1F	fragile site, aphidicolin type, common, fra(1)(q21)
FRA1G	fragile site, aphidicolin type, common, fra(1)(q25.1)
FRA1H	fragile site, 5-azacytidine type, common, fra(1)(q42)
FRA1I	fragile site, aphidicolin type, common, fra(1)(q44)
FRA1J	fragile site, 5-azacytidine type, common, fra(1)(q12)
FRA1K	fragile site, aphidicolin type, common, fra(1)(q31)
FRA1L	fragile site, aphidicolin type, common, fra(1)(p31)
FRA1M	fragile site, folic acid type, rare, fra(1)(p21.3)
FRA20A	fragile site, folic acid type, rare, fra(20)(p11.23)
FRA20B	fragile site, aphidicolin type, common, fra(20)(p12.2)
FRA22A	fragile site, folic acid type, rare, fra(22)(q13)
FRA22B	fragile site, aphidicolin type, common, fra(22)(q12.2)
FRA2A	fragile site, folic acid type, rare, fra(2)(q11.2)
FRA2B	fragile site, folic acid type, rare, fra(2)(q13)
FRA2C	fragile site, aphidicolin type, common, fra(2)(p24.2)
FRA2D	fragile site, aphidicolin type, common, fra(2)(p16.2)
FRA2E	fragile site, aphidicolin type, common, fra(2)(p13)
FRA2F	fragile site, aphidicolin type, common, fra(2)(q21.3)
FRA2G	fragile site, aphidicolin type, common, fra(2)(q31)
FRA2H	fragile site, aphidicolin type, common, fra(2)(q32.1)
FRA2I	fragile site, aphidicolin type, common, fra(2)(q33)
FRA2J	fragile site, aphidicolin type, common, fra(2)(q37.3)
FRA2K	fragile site, folic acid type, rare, fra(2)(q22.3)
FRA3A	fragile site, aphidicolin type, common, fra(3)(p24.2)
FRA3B	fragile site, aphidicolin type, common, fra(3)(p14.2)
FRA3C	fragile site, aphidicolin type, common, fra(3)(q27)
FRA3D	fragile site, aphidicolin type, common, fra(3)(q25)
FRA4A	fragile site, aphidicolin type, common, fra(4)(p16.1)
FRA4B	fragile site, BrdU type, common, fra(4)(q12)
FRA4C	fragile site, aphidicolin type, common, fra(4)(q31.1)
FRA4D	fragile site, aphidicolin type, common, fra(4)(p15)
FRA4E	fragile site, unclassified, common, fra(4)(q27)
FRA5A	fragile site, BrdU type, common, fra(5)(p13)
FRA5B	fragile site, BrdU type, common, fra(5)(q15)
FRA5C	fragile site, aphidicolin type, common, fra(5)(q31.1)
FRA5D	fragile site, aphidicolin type, common, fra(5)(q15)
FRA5E	fragile site, aphidicolin type, common, fra(5)(p14)
FRA5F	fragile site, aphidicolin type, common, fra(5)(q21)
FRA5G	fragile site, folic acid type, rare, fra(5)(q35)
FRA6A	fragile site, folic acid type, rare, fra(6)(p23)
FRA6B	fragile site, aphidicolin type, common, fra(6)(p25.1)
FRA6C	fragile site, aphidicolin type, common, fra(6)(p22.2)
FRA6D	fragile site, BrdU type, common, fra(6)(q13)
FRA6E	fragile site, aphidicolin type, common, fra(6)(q26)
FRA6F	fragile site, aphidicolin type, common, fra(6)(q21)
FRA6G	fragile site, aphidicolin type, common, fra(6)(q15)
